season,primary_team,compared_against_team,stat_bin,difference,absolute_difference
2017,Michigan,Ohio State,(10 | 12],-0.014193456,0.014193456
2017,Michigan,Ohio State,(-6 | -4],0.013651877,0.013651877
2017,Michigan,Ohio State,(2 | 4],-0.012170199,0.012170199
2017,Michigan,Ohio State,(34 | 36],-0.011557091,0.011557091
2017,Michigan,Ohio State,(14 | 16],0.01149578,0.01149578
2017,Michigan,Ohio State,(20 | 22],-0.008563079,0.008563079
2017,Michigan,Ohio State,(48 | 50],0.006825939,0.006825939
2017,Michigan,Ohio State,(58 | 60],0.006825939,0.006825939
2017,Michigan,Ohio State,(50 | 52],-0.005988024,0.005988024
2017,Michigan,Ohio State,(12 | 14],-0.00347428,0.00347428
2017,Michigan,Ohio State,(18 | 20],0.003412969,0.003412969
2017,Michigan,Ohio State,(28 | 30],0.003412969,0.003412969
2017,Michigan,Ohio State,(30 | 32],0.003412969,0.003412969
2017,Michigan,Ohio State,(66 | 68],0.003412969,0.003412969
2017,Michigan,Ohio State,(26 | 28],-0.002994012,0.002994012
2017,Michigan,Ohio State,(32 | 34],-0.002994012,0.002994012
2017,Michigan,Ohio State,(42 | 44],-0.002994012,0.002994012
2017,Michigan,Ohio State,(52 | 54],-0.002994012,0.002994012
2017,Michigan,Ohio State,(80 | 82],-0.002994012,0.002994012
2017,Michigan,Ohio State,(22 | 24],-0.002575055,0.002575055
2017,Michigan,Ohio State,(24 | 26],-0.002575055,0.002575055
2017,Michigan,Ohio State,(16 | 18],-0.002156097,0.002156097
2017,Michigan,Ohio State,(-8 | -6],0.000418957,0.000418957
2017,Michigan,Ohio State,(46 | 48],0.000418957,0.000418957
2017,Michigan,Ohio State,(76 | 78],0.000418957,0.000418957
2017,Michigan,Ohio State,(-22 | -20],0,0
2017,Michigan,Ohio State,(-20 | -18],0,0
2017,Michigan,Ohio State,(-18 | -16],0,0
2017,Michigan,Ohio State,(-16 | -14],0,0
2017,Michigan,Ohio State,(-14 | -12],0,0
2017,Michigan,Ohio State,(-12 | -10],0,0
2017,Michigan,Ohio State,(-10 | -8],0,0
2017,Michigan,Ohio State,(36 | 38],0,0
2017,Michigan,Ohio State,(38 | 40],0,0
2017,Michigan,Ohio State,(40 | 42],0,0
2017,Michigan,Ohio State,(44 | 46],0,0
2017,Michigan,Ohio State,(54 | 56],0,0
2017,Michigan,Ohio State,(56 | 58],0,0
2017,Michigan,Ohio State,(60 | 62],0,0
2017,Michigan,Ohio State,(62 | 64],0,0
2017,Michigan,Ohio State,(64 | 66],0,0
2017,Michigan,Ohio State,(68 | 70],0,0
